icao,iata,name,country,callsign
RNX,1T,1Time Airline,South Africa,NEXTIME
MLA,Q5,40-Mile Air,United States,MILE-AIR
AAA,AN,Ansett Australia,Australia,ANSETT
AAF,ZI,Aigle Azur,France,AIGLE AZUR
AAH,AQ,Aloha Airlines,United States,ALOHA
AAL,AA,American Airlines,United States,AMERICAN
AAR,OZ,Asiana Airlines,Republic of Korea,ASIANA
AAS,4K,Askari Aviation,Pakistan,AL-AAS
AAW,8U,Afriqiyah Airways,Libya,AFRIQIYAH
AAY,G4,Allegiant Air,United States,ALLEGIANT
TUS,M3,ABSA - Aerolinhas Brasileiras,Brazil,ABSA Cargo
ACP,8V,Astral Aviation,Kenya,ASTRAL CARGO
ADE,ZY,Ada Air,Albania,ADA AIR
ADR,JP,Adria Airways,Slovenia,ADRIA
AEA,UX,Air Europa,Spain,EUROPA
AEB,EM,Aero Benin,Benin,AEROBEN
AEE,A3,Aegean Airlines,Greece,AEGEAN
AEL,PE,Air Europe,Italy,AIR EUROPE
AER,KO,Alaska Central Express,United States,ACE AIR
AEU,5W,Astraeus,United Kingdom,FLYSTAR
AEW,VV,Aerosvit Airlines,Ukraine,AEROSVIT
AEY,I9,Air Italy,Italy,AIR ITALY
UTY,QQ,Alliance Airlines,Australia,UNITY
AFG,FG,Ariana Afghan Airlines,Afghanistan,ARIANA
AFL,SU,Aeroflot Russian Airlines,Russia,AEROFLOT
BON,JA,Air Bosna,Bosnia and Herzegovina,AIR BOSNA
AFR,AF,Air France,France,AIRFRANS
ACI,SB,Air Caledonie International,France,AIRCALIN
SNC,2Q,Air Cargo Carriers,United States,NIGHT CARGO
NMB,SW,Air Namibia,Namibia,NAMIBIA
SLI,5D,Aerolitoral,Mexico,COSTERA
AGV,7T,Air Glaciers,Switzerland,AIR GLACIERS
PLI,PL,Aeroper,Peru,Aeroperu
BMM,8A,Atlas Blue,Morocco,ATLAS BLUE
AHY,J2,Azerbaijan Airlines,Azerbaijan,AZAL
AIA,U3,Avies,Estonia,AVIES
ABQ,ED,Airblue,Pakistan,PAKBLUE
BER,AB,Air Berlin,Germany,AIR BERLIN
AIC,AI,Air India Limited,India,AIRINDIA
BUB,ZB,Air Bourbon,Reunion,BOURBON
ABD,CC,Air Atlanta Icelandic,Iceland,ATLANTA
THT,TN,Air Tahiti Nui,France,TAHITI AIRLINES
AIZ,IZ,Arkia Israel Airlines,Israel,ARKIA
AJM,JM,Air Jamaica,Jamaica,JAMAICA
ADH,AP,Air One,Italy,HERON
RSH,S2,Air Sahara,India,SAHARA
AMC,KM,Air Malta,Malta,AIR MALTA
AJX,NQ,Air Japan,Japan,AIR JAPAN
AKL,4A,Air Kiribati,Kiribati,
AWE,HP,America West Airlines,United States,CACTUS
AWI,ZW,Air Wisconsin,United States,AIR WISCONSIN
TAK,U9,Tatarstan Airlines,Russia,TATARSTAN
AML,QM,Air Malawi,Malawi,MALAWI
AMU,NX,Air Macau,Macao,AIR MACAO
SEY,HM,Air Seychelles,Seychelles,SEYCHELLES
AMX,AM,AeroMéxico,Mexico,AEROMEXICO
ANA,NH,All Nippon Airways,Japan,ALL NIPPON
ANE,YW,Air Nostrum,Spain,AIR NOSTRUM
ANG,PX,Air Niugini,Papua New Guinea,NUIGINI
ABY,G9,Air Arabia,United Arab Emirates,ARABIA
ACA,AC,Air Canada,Canada,AIR CANADA
BTI,BT,Air Baltic,Latvia,AIRBALTIC
ANK,EL,Air Nippon,Japan,ANK AIR
ANO,TL,Airnorth,Australia,TOPEND
ANT,4N,Air North Charter - Canada,Canada,AIR NORTH
ANZ,NZ,Air New Zealand,New Zealand,NEW ZEALAND
SMX,XM,Alitalia Express,Italy,ALIEXPRESS
ARF,GV,Aero Flight,Germany,Aero Fox
APW,JW,Arrow Air,United States,BIG A
ARD,2B,Aerocondor,Portugal,AEROCONDOR
